Summary,Description,Priority,Labels,Status
"[dfs-1] Map every SearXNG / SERP touchpoint in backend (registry, workers, env)","Task ID: dfs-1 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/registry.py, keyword/registry.py, serp_visibility.py, deploy/ | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-1",Done
"[dfs-2] DataForSEO API spike: endpoints, auth, rate limits, $/1k SERP calls",Task ID: dfs-2 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-2",Done
[dfs-3] Cost model: current SearXNG infra vs DataForSEO at expected analysis volume,Task ID: dfs-3 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-3",To Do
[dfs-4] Implement app/serp/dataforseo.py adapter (SerpSource interface),"Task ID: dfs-4 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/base.py, serp/searxng.py (reference) | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-4",Done
[dfs-5] Wire serp/registry.py: SERP_PROVIDER=dataforseo | searxng (transitional),Task ID: dfs-5 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-5",Done
[dfs-6] Replace keyword/searxng_expand with DataForSEO keyword/SERP suggestions,"Task ID: dfs-6 | Workstream: dataforseo | Canvas priority: P0 | Files: keyword/searxng_expand.py, keyword/registry.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-6",Done
[dfs-7] Migrate keyword/rank_check to DataForSEO SERP position,Task ID: dfs-7 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,dataforseo,dfs-7",Done
[dfs-8] Evaluate Tavily → DataForSEO for measured grounded search (keep Tavily if cheaper),"Task ID: dfs-8 | Workstream: dataforseo | Canvas priority: P1 | Files: llm_analytics_measured.py, providers/tavily.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,dataforseo,dfs-8",To Do
"[dfs-9] Update deploy: remove SearXNG service, add DATAFORSEO_* secrets, docs",Task ID: dfs-9 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,dataforseo,dfs-9",To Do
[dfs-10] Retire searxng tests / integration harness or gate behind legacy flag,Task ID: dfs-10 | Workstream: dataforseo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,dataforseo,dfs-10",To Do
[val-sh-1] Pick 4–6 anchor brands + prompt set; freeze locale/device for SERP pulls,Task ID: val-sh-1 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_shared,val-sh-1",To Do
[val-sh-2] Batch simulated GEO runs (geo_mode=simulated) — primary dataset,"Task ID: val-sh-2 | Workstream: validation_shared | Canvas priority: P0 | Files: simulated.py, execute_measured.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,validation_shared,val-sh-2",To Do
[val-sh-3] Pull DataForSEO SERP snapshots for same query texts (store raw JSON),Task ID: val-sh-3 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_shared,val-sh-3",To Do
[val-sh-4] Optional: measured runs on same corpus — control arm for both tracks,Task ID: val-sh-4 | Workstream: validation_shared | Canvas priority: P1 | Files: llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_shared,val-sh-4",To Do
"[val-ai-1] Export JSONL pairs: {prompt, brand, raw_audit_blob, raw_serp_blob} — no field mapping",Task ID: val-ai-1 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-1",To Do
"[val-ai-2] Write correlation judge prompt: connections, orphans, contradictions — kuralsız",Task ID: val-ai-2 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-2",To Do
[val-ai-3] Implement judge runner (OpenRouter): pair in → structured linkage JSON,Task ID: val-ai-3 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/serp_correlation_judge.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-3",To Do
[val-ai-4] Run judge on full simulated corpus; persist per prompt×brand,Task ID: val-ai-4 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-4",To Do
[val-ai-5] Human spot-check ~20 pairs — calibrate false links vs missed links,Task ID: val-ai-5 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_ai,val-ai-5",To Do
[val-ai-6] Aggregate connection density by audit section (which fields ever touch SERP?),Task ID: val-ai-6 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_ai,val-ai-6",To Do
[val-ai-7] Product call: zero-linkage fields → disclaimer or hide in simulate mode,Task ID: val-ai-7 | Workstream: validation_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,validation_ai,val-ai-7",To Do
[val-rb-1] Define alignment schema: audit field → SERP field mapping table,Task ID: val-rb-1 | Workstream: validation_rules | Canvas priority: P0 | Files: docs/eval-serp-alignment.md | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-1",To Do
"[val-rb-2] Normalize exports: parse citations, entities, SERP domains into comparable sets",Task ID: val-rb-2 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_normalize.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-2",To Do
"[val-rb-3] Implement citation metrics: domain overlap %, URL match rate",Task ID: val-rb-3 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_rule_metrics.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-3",To Do
[val-rb-4] Implement entity co-mention precision/recall vs SERP token extraction,Task ID: val-rb-4 | Workstream: validation_rules | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-4",To Do
