Work item id,Work type,Summary,Description,Priority,Status,Labels,Parent
-1,Epic,DataForSEO Swap,Epic for Yanki backlog workstream: dataforseo. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,dataforseo",
-2,Epic,GEO Validation — Shared Prep,Epic for Yanki backlog workstream: validation_shared. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,validation_shared",
-3,Epic,GEO Validation — AI Track,Epic for Yanki backlog workstream: validation_ai. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,validation_ai",
-4,Epic,GEO Validation — Rule-Based Track,Epic for Yanki backlog workstream: validation_rules. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,validation_rules",
-5,Epic,Product — Top Cited Pages,Epic for Yanki backlog workstream: product. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,product",
-6,Epic,Infrastructure,Epic for Yanki backlog workstream: infra. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,infra",
-7,Epic,Semrush Parity — AI Visibility,Epic for Yanki backlog workstream: semrush_ai. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,semrush_ai",
-8,Epic,Semrush Parity — SEO,Epic for Yanki backlog workstream: semrush_seo. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,semrush_seo",
-9,Epic,Semrush Parity — Keyword,Epic for Yanki backlog workstream: semrush_keyword. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,semrush_keyword",
-10,Epic,Semrush Parity — Traffic,Epic for Yanki backlog workstream: semrush_traffic. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,semrush_traffic",
-11,Epic,Standalone Modules,Epic for Yanki backlog workstream: standalone. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,standalone",
-12,Epic,PR #2 — Keywords DataForSEO,Epic for Yanki backlog workstream: keywords_pr. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,keywords_pr",
-13,Epic,PR #3 — Backlinks DataForSEO,Epic for Yanki backlog workstream: backlinks_pr. Import from docs/jira-backlog-import-admin.csv,Medium,To Do,"yanki,epic,backlinks_pr",
