Summary,Issue Type,Description,Priority,Labels,Epic Name,Status
"[dfs-1] Map every SearXNG / SERP touchpoint in backend (registry, workers, env)",Task,"Task ID: dfs-1 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/registry.py, keyword/registry.py, serp_visibility.py, deploy/ | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-1",DataForSEO Swap,Done
"[dfs-2] DataForSEO API spike: endpoints, auth, rate limits, $/1k SERP calls",Task,Task ID: dfs-2 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-2",DataForSEO Swap,Done
[dfs-3] Cost model: current SearXNG infra vs DataForSEO at expected analysis volume,Task,Task ID: dfs-3 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-3",DataForSEO Swap,To Do
[dfs-4] Implement app/serp/dataforseo.py adapter (SerpSource interface),Task,"Task ID: dfs-4 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/base.py, serp/searxng.py (reference) | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-4",DataForSEO Swap,Done
[dfs-5] Wire serp/registry.py: SERP_PROVIDER=dataforseo | searxng (transitional),Task,Task ID: dfs-5 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,dataforseo,dfs-5",DataForSEO Swap,Done
[dfs-6] Replace keyword/searxng_expand with DataForSEO keyword/SERP suggestions,Task,"Task ID: dfs-6 | Workstream: dataforseo | Canvas priority: P0 | Files: keyword/searxng_expand.py, keyword/registry.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,dataforseo,dfs-6",DataForSEO Swap,Done
[dfs-7] Migrate keyword/rank_check to DataForSEO SERP position,Task,Task ID: dfs-7 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,dataforseo,dfs-7",DataForSEO Swap,Done
[dfs-8] Evaluate Tavily → DataForSEO for measured grounded search (keep Tavily if cheaper),Task,"Task ID: dfs-8 | Workstream: dataforseo | Canvas priority: P1 | Files: llm_analytics_measured.py, providers/tavily.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,dataforseo,dfs-8",DataForSEO Swap,To Do
"[dfs-9] Update deploy: remove SearXNG service, add DATAFORSEO_* secrets, docs",Task,Task ID: dfs-9 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,dataforseo,dfs-9",DataForSEO Swap,To Do
[dfs-10] Retire searxng tests / integration harness or gate behind legacy flag,Task,Task ID: dfs-10 | Workstream: dataforseo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,dataforseo,dfs-10",DataForSEO Swap,To Do
[val-sh-1] Pick 4–6 anchor brands + prompt set; freeze locale/device for SERP pulls,Task,Task ID: val-sh-1 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_shared,val-sh-1",GEO Validation — Shared Prep,To Do
[val-sh-2] Batch simulated GEO runs (geo_mode=simulated) — primary dataset,Task,"Task ID: val-sh-2 | Workstream: validation_shared | Canvas priority: P0 | Files: simulated.py, execute_measured.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,validation_shared,val-sh-2",GEO Validation — Shared Prep,To Do
[val-sh-3] Pull DataForSEO SERP snapshots for same query texts (store raw JSON),Task,Task ID: val-sh-3 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_shared,val-sh-3",GEO Validation — Shared Prep,To Do
[val-sh-4] Optional: measured runs on same corpus — control arm for both tracks,Task,Task ID: val-sh-4 | Workstream: validation_shared | Canvas priority: P1 | Files: llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_shared,val-sh-4",GEO Validation — Shared Prep,To Do
"[val-ai-1] Export JSONL pairs: {prompt, brand, raw_audit_blob, raw_serp_blob} — no field mapping",Task,Task ID: val-ai-1 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-1",GEO Validation — AI Track,To Do
"[val-ai-2] Write correlation judge prompt: connections, orphans, contradictions — kuralsız",Task,Task ID: val-ai-2 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-2",GEO Validation — AI Track,To Do
[val-ai-3] Implement judge runner (OpenRouter): pair in → structured linkage JSON,Task,Task ID: val-ai-3 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/serp_correlation_judge.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-3",GEO Validation — AI Track,To Do
[val-ai-4] Run judge on full simulated corpus; persist per prompt×brand,Task,Task ID: val-ai-4 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_ai,val-ai-4",GEO Validation — AI Track,To Do
[val-ai-5] Human spot-check ~20 pairs — calibrate false links vs missed links,Task,Task ID: val-ai-5 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_ai,val-ai-5",GEO Validation — AI Track,To Do
[val-ai-6] Aggregate connection density by audit section (which fields ever touch SERP?),Task,Task ID: val-ai-6 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_ai,val-ai-6",GEO Validation — AI Track,To Do
